"Year","State","Industry.Sector.Category","Sector","Electricity_Consumption"
2018,"AK","Total Electric Industry","Residential","1,974,906"
2018,"AL","Total Electric Industry","Residential","33,080,380"
2018,"AR","Total Electric Industry","Residential","19,259,204"
2018,"AZ","Total Electric Industry","Residential","34,660,297"
2018,"CA","Total Electric Industry","Residential","89,099,985"
2018,"CO","Total Electric Industry","Residential","19,286,952"
2018,"CT","Total Electric Industry","Residential","13,061,372"
2018,"DC","Total Electric Industry","Residential","2,592,242"
2018,"DE","Total Electric Industry","Residential","5,070,175"
2018,"FL","Total Electric Industry","Residential","125,528,047"
2018,"GA","Total Electric Industry","Residential","59,689,106"
2018,"HI","Total Electric Industry","Residential","2,710,698"
2018,"IA","Total Electric Industry","Residential","14,840,349"
2018,"ID","Total Electric Industry","Residential","8,427,578"
2018,"IL","Total Electric Industry","Residential","47,225,915"
2018,"IN","Total Electric Industry","Residential","34,574,664"
2018,"KS","Total Electric Industry","Residential","14,187,192"
2018,"KY","Total Electric Industry","Residential","27,712,722"
2018,"LA","Total Electric Industry","Residential","32,065,538"
2018,"MA","Total Electric Industry","Residential","20,284,674"
2018,"MD","Total Electric Industry","Residential","28,138,474"
2018,"ME","Total Electric Industry","Residential","4,872,001"
2018,"MI","Total Electric Industry","Residential","35,131,422"
2018,"MN","Total Electric Industry","Residential","22,837,140"
2018,"MO","Total Electric Industry","Residential","37,463,390"
2018,"MS","Total Electric Industry","Residential","19,310,527"
2018,"MT","Total Electric Industry","Residential","5,197,686"
2018,"NC","Total Electric Industry","Residential","61,622,454"
2018,"ND","Total Electric Industry","Residential","5,133,171"
2018,"NE","Total Electric Industry","Residential","10,412,008"
2018,"NH","Total Electric Industry","Residential","4,641,013"
2018,"NJ","Total Electric Industry","Residential","29,530,689"
2018,"NM","Total Electric Industry","Residential","6,826,442"
2018,"NV","Total Electric Industry","Residential","13,449,743"
2018,"NY","Total Electric Industry","Residential","52,153,246"
2018,"OH","Total Electric Industry","Residential","54,451,714"
2018,"OK","Total Electric Industry","Residential","24,116,808"
2018,"OR","Total Electric Industry","Residential","18,930,583"
2018,"PA","Total Electric Industry","Residential","55,896,453"
2018,"RI","Total Electric Industry","Residential","3,124,168"
2018,"SC","Total Electric Industry","Residential","31,852,419"
2018,"SD","Total Electric Industry","Residential","5,018,360"
2018,"TN","Total Electric Industry","Residential","44,381,957"
2018,"TX","Total Electric Industry","Residential","157,267,913"
2018,"UT","Total Electric Industry","Residential","9,714,507"
2018,"VA","Total Electric Industry","Residential","47,962,606"
2018,"VT","Total Electric Industry","Residential","2,116,045"
2018,"WA","Total Electric Industry","Residential","35,338,978"
2018,"WI","Total Electric Industry","Residential","22,441,335"
2018,"WV","Total Electric Industry","Residential","11,679,455"
2018,"WY","Total Electric Industry","Residential","2,748,356"
2018,"US","Total Electric Industry","Residential","1,469,093,059"
2018,"AK","Full-Service Providers","Residential","1,974,906"
2018,"AL","Full-Service Providers","Residential","33,080,380"
2018,"AR","Full-Service Providers","Residential","19,259,204"
2018,"AZ","Full-Service Providers","Residential","34,660,297"
2018,"CA","Full-Service Providers","Residential","80,573,265"
2018,"CO","Full-Service Providers","Residential","19,286,952"
2018,"CT","Full-Service Providers","Residential","9,540,922"
2018,"DC","Full-Service Providers","Residential","1,968,421"
2018,"DE","Full-Service Providers","Residential","4,754,502"
2018,"FL","Full-Service Providers","Residential","125,528,047"
2018,"GA","Full-Service Providers","Residential","59,689,106"
2018,"HI","Full-Service Providers","Residential","2,710,698"
2018,"IA","Full-Service Providers","Residential","14,840,349"
2018,"ID","Full-Service Providers","Residential","8,427,578"
2018,"IL","Full-Service Providers","Residential","30,073,290"
2018,"IN","Full-Service Providers","Residential","34,574,664"
2018,"KS","Full-Service Providers","Residential","14,187,192"
2018,"KY","Full-Service Providers","Residential","27,712,722"
2018,"LA","Full-Service Providers","Residential","32,065,538"
2018,"MA","Full-Service Providers","Residential","12,330,601"
2018,"MD","Full-Service Providers","Residential","22,905,076"
2018,"ME","Full-Service Providers","Residential","4,220,057"
2018,"MI","Full-Service Providers","Residential","35,131,055"
2018,"MN","Full-Service Providers","Residential","22,837,140"
2018,"MO","Full-Service Providers","Residential","37,463,390"
2018,"MS","Full-Service Providers","Residential","19,310,527"
2018,"MT","Full-Service Providers","Residential","5,197,680"
2018,"NC","Full-Service Providers","Residential","61,622,454"
2018,"ND","Full-Service Providers","Residential","5,133,171"
2018,"NE","Full-Service Providers","Residential","10,412,008"
2018,"NH","Full-Service Providers","Residential","3,716,347"
2018,"NJ","Full-Service Providers","Residential","25,708,694"
2018,"NM","Full-Service Providers","Residential","6,826,442"
2018,"NV","Full-Service Providers","Residential","13,449,743"
2018,"NY","Full-Service Providers","Residential","43,863,331"
2018,"OH","Full-Service Providers","Residential","29,161,594"
2018,"OK","Full-Service Providers","Residential","24,116,808"
2018,"OR","Full-Service Providers","Residential","18,930,583"
2018,"PA","Full-Service Providers","Residential","37,492,521"
2018,"RI","Full-Service Providers","Residential","2,773,345"
2018,"SC","Full-Service Providers","Residential","31,852,419"
2018,"SD","Full-Service Providers","Residential","5,018,360"
2018,"TN","Full-Service Providers","Residential","44,381,957"
2018,"TX","Full-Service Providers","Residential","157,267,913"
2018,"UT","Full-Service Providers","Residential","9,714,507"
2018,"VA","Full-Service Providers","Residential","47,962,606"
2018,"VT","Full-Service Providers","Residential","2,116,045"
2018,"WA","Full-Service Providers","Residential","35,338,978"
2018,"WI","Full-Service Providers","Residential","22,441,335"
2018,"WV","Full-Service Providers","Residential","11,679,455"
2018,"WY","Full-Service Providers","Residential","2,748,356"
2018,"US","Full-Service Providers","Residential","1,368,032,531"
2018,"CA","Energy-Only Providers","Residential","8,526,720"
2018,"CT","Energy-Only Providers","Residential","3,520,450"
2018,"DC","Energy-Only Providers","Residential","623,821"
2018,"DE","Energy-Only Providers","Residential","315,673"
2018,"IL","Energy-Only Providers","Residential","17,152,625"
2018,"MA","Energy-Only Providers","Residential","7,954,073"
2018,"MD","Energy-Only Providers","Residential","5,233,398"
2018,"ME","Energy-Only Providers","Residential","651,944"
2018,"MI","Energy-Only Providers","Residential","367"
2018,"MT","Energy-Only Providers","Residential","6"
2018,"NH","Energy-Only Providers","Residential","924,666"
2018,"NJ","Energy-Only Providers","Residential","3,821,995"
2018,"NV","Energy-Only Providers","Residential","0"
2018,"NY","Energy-Only Providers","Residential","8,289,915"
2018,"OH","Energy-Only Providers","Residential","25,290,120"
2018,"OR","Energy-Only Providers","Residential","0"
2018,"PA","Energy-Only Providers","Residential","18,403,932"
2018,"RI","Energy-Only Providers","Residential","350,823"
2018,"VA","Energy-Only Providers","Residential","0"
2018,"WA","Energy-Only Providers","Residential","0"
2018,"US","Energy-Only Providers","Residential","101,060,528"
2017,"AK","Total Electric Industry","Residential","2,060,349"
2017,"AL","Total Electric Industry","Residential","30,181,045"
2017,"AR","Total Electric Industry","Residential","17,026,779"
