Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2018,AK,Total Electric Industry,"1,974,906","2,646,058","1,351,503",0,NA,"5,972,467"
2018,AL,Total Electric Industry,"33,080,380","23,483,072","33,717,004",0,NA,"90,280,456"
2018,AR,Total Electric Industry,"19,259,204","12,278,279","18,064,787",438,NA,"49,602,708"
2018,AZ,Total Electric Industry,"34,660,297","29,683,550","13,994,441","8,014",NA,"78,346,302"
2018,CA,Total Electric Industry,"89,099,985","115,786,492","49,587,913","749,882",NA,"255,224,272"
2018,CO,Total Electric Industry,"19,286,952","21,023,300","16,047,258","92,970",NA,"56,450,480"
2018,CT,Total Electric Industry,"13,061,372","12,381,063","3,209,992","181,498",NA,"28,833,925"
2018,DC,Total Electric Industry,"2,592,242","8,236,225","192,662","336,781",NA,"11,357,910"
2018,DE,Total Electric Industry,"5,070,175","4,342,340","2,360,585",0,NA,"11,773,100"
2018,FL,Total Electric Industry,"125,528,047","96,265,276","16,689,129","82,939",NA,"238,565,391"
2018,GA,Total Electric Industry,"59,689,106","47,311,675","32,695,791","169,502",NA,"139,866,074"
2018,HI,Total Electric Industry,"2,710,698","3,033,009","3,593,454",0,NA,"9,337,161"
2018,IA,Total Electric Industry,"14,840,349","12,417,671","23,952,635",0,NA,"51,210,655"
2018,ID,Total Electric Industry,"8,427,578","6,436,893","8,889,037",0,NA,"23,753,508"
2018,IL,Total Electric Industry,"47,225,915","50,762,829","44,114,711","551,353",NA,"142,654,808"
2018,IN,Total Electric Industry,"34,574,664","24,305,199","45,293,322","21,191",NA,"104,194,376"
2018,KS,Total Electric Industry,"14,187,192","16,168,750","11,681,037",0,NA,"42,036,979"
2018,KY,Total Electric Industry,"27,712,722","19,980,485","28,917,429",0,NA,"76,610,636"
2018,LA,Total Electric Industry,"32,065,538","24,690,904","37,416,715","12,915",NA,"94,186,072"
2018,MA,Total Electric Industry,"20,284,674","25,952,481","6,699,302","348,572",NA,"53,285,029"
2018,MD,Total Electric Industry,"28,138,474","29,547,518","3,870,188","530,275",NA,"62,086,455"
2018,ME,Total Electric Industry,"4,872,001","4,447,245","3,035,573",0,NA,"12,354,819"
2018,MI,Total Electric Industry,"35,131,422","38,925,268","30,806,023","6,783",NA,"104,869,496"
2018,MN,Total Electric Industry,"22,837,140","23,398,557","22,446,853","25,832",NA,"68,708,382"
2018,MO,Total Electric Industry,"37,463,390","31,179,283","13,389,587","23,575",NA,"82,055,835"
2018,MS,Total Electric Industry,"19,310,527","14,530,226","16,549,315",0,NA,"50,390,068"
2018,MT,Total Electric Industry,"5,197,686","4,921,231","4,719,928",0,NA,"14,838,845"
2018,NC,Total Electric Industry,"61,622,454","49,298,402","27,353,560","12,988",NA,"138,287,404"
2018,ND,Total Electric Industry,"5,133,171","6,835,913","8,700,422",0,NA,"20,669,506"
2018,NE,Total Electric Industry,"10,412,008","9,553,396","10,974,088",0,NA,"30,939,492"
2018,NH,Total Electric Industry,"4,641,013","4,442,560","1,962,711",0,NA,"11,046,284"
2018,NJ,Total Electric Industry,"29,530,689","38,807,065","7,369,106","309,902",NA,"76,016,762"
2018,NM,Total Electric Industry,"6,826,442","9,035,272","8,186,897",0,NA,"24,048,611"
2018,NV,Total Electric Industry,"13,449,743","12,123,896","12,198,273","8,351",NA,"37,780,263"
2018,NY,Total Electric Industry,"52,153,246","76,745,463","18,076,792","2,954,350",NA,"149,929,851"
2018,OH,Total Electric Industry,"54,451,714","47,191,540","51,235,995","35,918",NA,"152,915,167"
2018,OK,Total Electric Industry,"24,116,808","21,229,143","19,229,365",0,NA,"64,575,316"
2018,OR,Total Electric Industry,"18,930,583","16,470,027","13,899,298","25,996",NA,"49,325,904"
2018,PA,Total Electric Industry,"55,896,453","43,221,520","49,155,499","703,259",NA,"148,976,731"
2018,RI,Total Electric Industry,"3,124,168","3,697,587","734,618","26,966",NA,"7,583,339"
2018,SC,Total Electric Industry,"31,852,419","22,232,833","27,555,886",0,NA,"81,641,138"
2018,SD,Total Electric Industry,"5,018,360","4,903,243","2,935,335",0,NA,"12,856,938"
2018,TN,Total Electric Industry,"44,381,957","36,930,451","21,598,775",0,NA,"102,911,183"
2018,TX,Total Electric Industry,"157,267,913","143,524,631","123,438,829","187,255",NA,"424,418,628"
2018,UT,Total Electric Industry,"9,714,507","12,083,833","9,392,709","51,359",NA,"31,242,408"
2018,VA,Total Electric Industry,"47,962,606","52,268,211","17,736,936","198,595",NA,"118,166,348"
2018,VT,Total Electric Industry,"2,116,045","2,003,515","1,411,388",0,NA,"5,530,948"
2018,WA,Total Electric Industry,"35,338,978","29,396,404","25,263,272","7,137",NA,"90,005,791"
2018,WI,Total Electric Industry,"22,441,335","24,093,421","24,424,585",208,NA,"70,959,549"
2018,WV,Total Electric Industry,"11,679,455","7,774,429","14,192,929",0,NA,"33,646,813"
2018,WY,Total Electric Industry,"2,748,356","3,757,211","10,359,111",0,NA,"16,864,678"
2018,US,Total Electric Industry,"1,469,093,059","1,381,754,845","1,000,672,553","7,664,804",NA,"3,859,185,261"
2018,AK,Full-Service Providers,"1,974,906","2,646,058","1,351,503",0,NA,"5,972,467"
2018,AL,Full-Service Providers,"33,080,380","23,483,072","33,717,004",0,NA,"90,280,456"
2018,AR,Full-Service Providers,"19,259,204","12,278,279","18,064,787",438,NA,"49,602,708"
2018,AZ,Full-Service Providers,"34,660,297","29,683,550","13,994,441","8,014",NA,"78,346,302"
2018,CA,Full-Service Providers,"80,573,265","89,601,057","36,754,718","340,536",NA,"207,269,576"
2018,CO,Full-Service Providers,"19,286,952","21,023,300","16,047,258","92,970",NA,"56,450,480"
2018,CT,Full-Service Providers,"9,540,922","3,277,056","898,802","82,265",NA,"13,799,045"
2018,DC,Full-Service Providers,"1,968,421","1,185,857",0,0,NA,"3,154,278"
2018,DE,Full-Service Providers,"4,754,502","1,774,022","914,201",0,NA,"7,442,725"
2018,FL,Full-Service Providers,"125,528,047","96,265,276","16,689,129","82,939",NA,"238,565,391"
2018,GA,Full-Service Providers,"59,689,106","47,311,675","32,695,791","169,502",NA,"139,866,074"
2018,HI,Full-Service Providers,"2,710,698","3,033,009","3,593,454",0,NA,"9,337,161"
2018,IA,Full-Service Providers,"14,840,349","12,417,671","23,952,635",0,NA,"51,210,655"
2018,ID,Full-Service Providers,"8,427,578","6,436,893","8,889,037",0,NA,"23,753,508"
2018,IL,Full-Service Providers,"30,073,290","16,335,382","5,870,311",0,NA,"52,278,983"
2018,IN,Full-Service Providers,"34,574,664","24,305,199","45,293,322","21,191",NA,"104,194,376"
2018,KS,Full-Service Providers,"14,187,192","16,168,750","11,681,037",0,NA,"42,036,979"
2018,KY,Full-Service Providers,"27,712,722","19,980,485","28,917,429",0,NA,"76,610,636"
2018,LA,Full-Service Providers,"32,065,538","24,690,904","37,416,715","12,915",NA,"94,186,072"
2018,MA,Full-Service Providers,"12,330,601","6,611,476","2,527,342",0,NA,"21,469,419"
2018,MD,Full-Service Providers,"22,905,076","6,955,868","446,001",0,NA,"30,306,945"
2018,ME,Full-Service Providers,"4,220,057","2,015,506","327,309",0,NA,"6,562,872"
2018,MI,Full-Service Providers,"35,131,055","35,019,490","25,841,397","6,783",NA,"95,998,725"
2018,MN,Full-Service Providers,"22,837,140","23,398,557","22,446,853","25,832",NA,"68,708,382"
2018,MO,Full-Service Providers,"37,463,390","31,179,283","13,389,587","23,575",NA,"82,055,835"
2018,MS,Full-Service Providers,"19,310,527","14,530,226","16,549,315",0,NA,"50,390,068"
2018,MT,Full-Service Providers,"5,197,680","4,778,487","1,826,496",0,NA,"11,802,663"
2018,NC,Full-Service Providers,"61,622,454","49,298,402","27,353,560","12,988",NA,"138,287,404"
2018,ND,Full-Service Providers,"5,133,171","6,835,913","8,700,422",0,NA,"20,669,506"
2018,NE,Full-Service Providers,"10,412,008","9,553,396","10,974,088",0,NA,"30,939,492"
2018,NH,Full-Service Providers,"3,716,347","1,382,731","230,280",0,NA,"5,329,358"
2018,NJ,Full-Service Providers,"25,708,694","12,994,556","1,715,644",0,NA,"40,418,894"
2018,NM,Full-Service Providers,"6,826,442","9,035,272","8,186,897",0,NA,"24,048,611"
2018,NV,Full-Service Providers,"13,449,743","8,806,299","10,697,765","8,351",NA,"32,962,158"
2018,NY,Full-Service Providers,"43,863,331","26,158,146","2,943,140","327,340",NA,"73,291,957"
2018,OH,Full-Service Providers,"29,161,594","9,567,197","8,097,742","2,253",NA,"46,828,786"
2018,OK,Full-Service Providers,"24,116,808","21,229,143","19,229,365",0,NA,"64,575,316"
2018,OR,Full-Service Providers,"18,930,583","15,504,532","12,270,675","25,996",NA,"46,731,786"
2018,PA,Full-Service Providers,"37,492,521","10,204,646","2,125,623",0,NA,"49,822,790"
2018,RI,Full-Service Providers,"2,773,345","1,183,206","153,215",0,NA,"4,109,766"
2018,SC,Full-Service Providers,"31,852,419","22,232,833","27,555,886",0,NA,"81,641,138"
2018,SD,Full-Service Providers,"5,018,360","4,903,243","2,935,335",0,NA,"12,856,938"
2018,TN,Full-Service Providers,"44,381,957","36,930,451","21,598,775",0,NA,"102,911,183"
2018,TX,Full-Service Providers,"157,267,913","143,524,631","123,438,829","187,255",NA,"424,418,628"
2018,UT,Full-Service Providers,"9,714,507","12,083,833","9,392,709","51,359",NA,"31,242,408"
2018,VA,Full-Service Providers,"47,962,606","51,968,407","17,260,264","198,595",NA,"117,389,872"
2018,VT,Full-Service Providers,"2,116,045","2,003,515","1,411,388",0,NA,"5,530,948"
2018,WA,Full-Service Providers,"35,338,978","29,361,760","23,269,189","7,137",NA,"87,977,064"
2018,WI,Full-Service Providers,"22,441,335","24,093,421","24,424,585",208,NA,"70,959,549"
2018,WV,Full-Service Providers,"11,679,455","7,774,429","14,192,929",0,NA,"33,646,813"
2018,WY,Full-Service Providers,"2,748,356","3,757,211","10,359,111",0,NA,"16,864,678"
2018,US,Full-Service Providers,"1,368,032,531","1,096,773,561","808,613,290","1,688,442",NA,"3,275,107,824"
2018,CA,Energy-Only Providers,"8,526,720","26,185,435","12,833,195","409,346",NA,"47,954,696"
2018,CT,Energy-Only Providers,"3,520,450","9,104,007","2,311,190","99,233",NA,"15,034,880"
2018,DC,Energy-Only Providers,"623,821","7,050,368","192,662","336,781",NA,"8,203,632"
2018,DE,Energy-Only Providers,"315,673","2,568,318","1,446,384",0,NA,"4,330,375"
2018,IL,Energy-Only Providers,"17,152,625","34,427,447","38,244,400","551,353",NA,"90,375,825"
2018,MA,Energy-Only Providers,"7,954,073","19,341,005","4,171,960","348,572",NA,"31,815,610"
2018,MD,Energy-Only Providers,"5,233,398","22,591,650","3,424,187","530,275",NA,"31,779,510"
2018,ME,Energy-Only Providers,"651,944","2,431,739","2,708,264",0,NA,"5,791,947"
2018,MI,Energy-Only Providers,367,"3,905,778","4,964,626",0,NA,"8,870,771"
2018,MT,Energy-Only Providers,6,"142,744","2,893,432",0,NA,"3,036,182"
2018,NH,Energy-Only Providers,"924,666","3,059,829","1,732,431",0,NA,"5,716,926"
2018,NJ,Energy-Only Providers,"3,821,995","25,812,509","5,653,462","309,902",NA,"35,597,868"
2018,NV,Energy-Only Providers,0,"3,317,597","1,500,508",0,NA,"4,818,105"
2018,NY,Energy-Only Providers,"8,289,915","50,587,317","15,133,652","2,627,010",NA,"76,637,894"
2018,OH,Energy-Only Providers,"25,290,120","37,624,343","43,138,253","33,665",NA,"106,086,381"
2018,OR,Energy-Only Providers,0,"965,495","1,628,623",0,NA,"2,594,118"
2018,PA,Energy-Only Providers,"18,403,932","33,016,874","47,029,876","703,259",NA,"99,153,941"
2018,RI,Energy-Only Providers,"350,823","2,514,381","581,403","26,966",NA,"3,473,573"
2018,VA,Energy-Only Providers,0,"299,804","476,672",0,NA,"776,476"
2018,WA,Energy-Only Providers,0,"34,644","1,994,083",0,NA,"2,028,727"
2018,US,Energy-Only Providers,"101,060,528","284,981,284","192,059,263","5,976,362",NA,"584,077,437"
2017,AK,Total Electric Industry,"2,060,349","2,704,890","1,420,560",0,NA,"6,185,799"
2017,AL,Total Electric Industry,"30,181,045","22,743,813","33,316,872",0,NA,"86,241,730"
2017,AR,Total Electric Industry,"17,026,779","11,912,518","17,146,265",389,NA,"46,085,951"
2017,AZ,Total Electric Industry,"34,251,220","29,681,441","13,706,041","7,560",NA,"77,646,262"
2017,CA,Total Electric Industry,"90,123,505","117,682,380","48,627,406","834,646",NA,"257,267,937"
2017,CO,Total Electric Industry,"18,615,000","20,640,793","15,501,238","73,155",NA,"54,830,186"
2017,CT,Total Electric Industry,"12,379,520","12,335,414","3,243,615","176,981",NA,"28,135,530"
2017,DC,Total Electric Industry,"2,394,652","8,006,225","180,183","335,386",NA,"10,916,446"
2017,DE,Total Electric Industry,"4,662,598","4,184,668","2,281,337",0,NA,"11,128,603"
2017,FL,Total Electric Industry,"121,462,622","95,003,681","16,601,941","86,305",NA,"233,154,549"
2017,GA,Total Electric Industry,"54,771,449","46,265,427","32,250,691","169,053",NA,"133,456,620"
2017,HI,Total Electric Industry,"2,629,679","3,081,632","3,612,890",0,NA,"9,324,201"
2017,IA,Total Electric Industry,"13,721,869","12,135,026","23,065,102",0,NA,"48,921,997"
2017,ID,Total Electric Industry,"8,727,901","6,421,001","8,644,888",0,NA,"23,793,790"
2017,IL,Total Electric Industry,"43,717,391","49,987,885","42,970,694","520,340",NA,"137,196,310"
2017,IN,Total Electric Industry,"31,551,558","23,656,990","43,737,384","20,036",NA,"98,965,968"
2017,KS,Total Electric Industry,"13,013,422","15,739,290","11,535,075",0,NA,"40,287,787"
2017,KY,Total Electric Industry,"24,882,582","19,292,518","28,459,287",0,NA,"72,634,387"
2017,LA,Total Electric Industry,"29,531,960","24,500,349","37,160,685","12,941",NA,"91,205,935"
2017,MA,Total Electric Industry,"19,337,799","25,968,044","6,859,215","348,263",NA,"52,513,321"
2017,MD,Total Electric Industry,"26,084,176","28,893,046","3,797,822","528,841",NA,"59,303,885"
2017,ME,Total Electric Industry,"4,638,535","3,916,786","2,658,353",0,NA,"11,213,674"
2017,MI,Total Electric Industry,"32,977,374","38,325,322","30,590,574","5,823",NA,"101,899,093"
2017,MN,Total Electric Industry,"21,573,800","23,273,897","22,280,917","23,966",NA,"67,152,580"
2017,MO,Total Electric Industry,"33,051,080","30,176,974","13,210,525","22,840",NA,"76,461,419"
2017,MS,Total Electric Industry,"17,444,016","14,256,157","16,128,614",0,NA,"47,828,787"
2017,MT,Total Electric Industry,"5,224,588","4,970,119","4,514,949",0,NA,"14,709,656"
2017,NC,Total Electric Industry,"56,133,960","47,890,455","27,393,364","3,540",NA,"131,421,319"
2017,ND,Total Electric Industry,"4,848,305","6,529,910","8,762,211",0,NA,"20,140,426"
2017,NE,Total Electric Industry,"9,667,990","9,293,401","11,397,616",0,NA,"30,359,007"
2017,NH,Total Electric Industry,"4,441,497","4,389,838","1,955,926",0,NA,"10,787,261"
2017,NJ,Total Electric Industry,"27,761,879","37,971,404","7,343,012","306,645",NA,"73,382,940"
2017,NM,Total Electric Industry,"6,497,207","8,784,312","7,728,065",0,NA,"23,009,584"
2017,NV,Total Electric Industry,"12,936,791","11,122,755","12,589,549","8,691",NA,"36,657,786"
2017,NY,Total Electric Industry,"49,080,757","75,333,485","17,811,455","2,766,736",NA,"144,992,433"
2017,OH,Total Electric Industry,"49,795,540","46,158,399","50,650,671","39,221",NA,"146,643,831"
2017,OK,Total Electric Industry,"21,837,596","20,498,860","18,155,672",0,NA,"60,492,128"
2017,OR,Total Electric Industry,"20,065,930","16,570,754","13,381,811","25,321",NA,"50,043,816"
2017,PA,Total Electric Industry,"51,724,498","42,622,565","47,889,117","754,716",NA,"142,990,896"
2017,RI,Total Electric Industry,"3,028,267","3,603,085","725,767","27,552",NA,"7,384,671"
2017,SC,Total Electric Industry,"29,224,971","21,758,082","27,113,704",0,NA,"78,096,757"
2017,SD,Total Electric Industry,"4,652,890","4,722,666","2,938,119",0,NA,"12,313,675"
2017,TN,Total Electric Industry,"39,292,528","33,727,208","24,220,149",0,NA,"97,239,885"
2017,TX,Total Electric Industry,"144,242,131","137,485,841","119,970,143","182,259",NA,"401,880,374"
2017,UT,Total Electric Industry,"9,510,783","11,739,121","9,283,036","56,081",NA,"30,589,021"
2017,VA,Total Electric Industry,"43,982,440","50,200,525","17,168,820","177,947",NA,"111,529,732"
2017,VT,Total Electric Industry,"2,023,424","1,976,594","1,423,644",0,NA,"5,423,662"
2017,WA,Total Electric Industry,"37,282,901","29,799,505","24,858,604","7,162",NA,"91,948,172"
2017,WI,Total Electric Industry,"21,233,154","23,641,127","24,204,631",197,NA,"69,079,109"
2017,WV,Total Electric Industry,"10,573,463","7,549,430","13,586,126",0,NA,"31,709,019"
2017,WY,Total Electric Industry,"2,772,371","3,762,086","10,243,610",0,NA,"16,778,067"
2017,US,Total Electric Industry,"1,378,647,742","1,352,887,694","984,297,945","7,522,593",NA,"3,723,355,974"
2017,AK,Full-Service Providers,"2,060,349","2,704,890","1,420,560",0,NA,"6,185,799"
2017,AL,Full-Service Providers,"30,181,045","22,743,813","33,316,872",0,NA,"86,241,730"
2017,AR,Full-Service Providers,"17,026,779","11,912,518","17,146,265",389,NA,"46,085,951"
2017,AZ,Full-Service Providers,"34,251,220","29,681,441","13,706,041","7,560",NA,"77,646,262"
2017,CA,Full-Service Providers,"85,131,736","97,787,142","37,609,042","425,529",NA,"220,953,449"
2017,CO,Full-Service Providers,"18,615,000","20,640,793","15,501,238","73,155",NA,"54,830,186"
2017,CT,Full-Service Providers,"8,636,900","3,005,359","863,058","13,009",NA,"12,518,326"
2017,DC,Full-Service Providers,"1,809,321","1,087,473",0,0,NA,"2,896,794"
2017,DE,Full-Service Providers,"4,332,672","1,648,123","902,620",0,NA,"6,883,415"
2017,FL,Full-Service Providers,"121,462,622","95,003,681","16,601,941","86,305",NA,"233,154,549"
2017,GA,Full-Service Providers,"54,771,449","46,265,427","32,250,691","169,053",NA,"133,456,620"
2017,HI,Full-Service Providers,"2,629,679","3,081,632","3,612,890",0,NA,"9,324,201"
2017,IA,Full-Service Providers,"13,721,869","12,135,026","23,065,102",0,NA,"48,921,997"
2017,ID,Full-Service Providers,"8,727,901","6,421,001","8,644,888",0,NA,"23,793,790"
2017,IL,Full-Service Providers,"27,484,293","16,012,091","5,887,837",0,NA,"49,384,221"
2017,IN,Full-Service Providers,"31,551,558","23,656,990","43,737,384","20,036",NA,"98,965,968"
2017,KS,Full-Service Providers,"13,013,422","15,739,290","11,535,075",0,NA,"40,287,787"
2017,KY,Full-Service Providers,"24,882,582","19,292,518","28,459,287",0,NA,"72,634,387"
2017,LA,Full-Service Providers,"29,531,960","24,500,349","37,160,685","12,941",NA,"91,205,935"
2017,MA,Full-Service Providers,"12,585,586","6,735,462","2,576,484",0,NA,"21,897,532"
2017,MD,Full-Service Providers,"20,999,376","6,749,361","433,666",0,NA,"28,182,403"
2017,ME,Full-Service Providers,"3,935,550","1,884,768","207,173",0,NA,"6,027,491"
2017,MI,Full-Service Providers,"32,977,001","34,571,525","25,437,782","5,823",NA,"92,992,131"
2017,MN,Full-Service Providers,"21,573,800","23,273,897","22,280,917","23,966",NA,"67,152,580"
2017,MO,Full-Service Providers,"33,051,080","30,176,974","13,210,525","22,840",NA,"76,461,419"
2017,MS,Full-Service Providers,"17,444,016","14,256,157","16,128,614",0,NA,"47,828,787"
2017,MT,Full-Service Providers,"5,224,577","4,827,355","1,877,274",0,NA,"11,929,206"
2017,NC,Full-Service Providers,"56,133,960","47,890,455","27,393,364","3,540",NA,"131,421,319"
2017,ND,Full-Service Providers,"4,848,305","6,529,910","8,762,211",0,NA,"20,140,426"
2017,NE,Full-Service Providers,"9,667,990","9,293,401","11,397,616",0,NA,"30,359,007"
2017,NH,Full-Service Providers,"3,515,748","1,367,805","227,479",0,NA,"5,111,032"
2017,NJ,Full-Service Providers,"23,442,989","12,382,187","1,702,824",0,NA,"37,528,000"
2017,NM,Full-Service Providers,"6,497,207","8,784,312","7,728,065",0,NA,"23,009,584"
2017,NV,Full-Service Providers,"12,936,791","8,663,284","11,193,903","8,691",NA,"32,802,669"
2017,NY,Full-Service Providers,"40,496,386","25,252,141","2,955,258","332,089",NA,"69,035,874"
2017,OH,Full-Service Providers,"27,554,342","9,878,971","7,771,272","3,067",NA,"45,207,652"
2017,OK,Full-Service Providers,"21,837,596","20,498,860","18,155,672",0,NA,"60,492,128"
2017,OR,Full-Service Providers,"20,065,930","15,660,995","11,806,463","25,321",NA,"47,558,709"
2017,PA,Full-Service Providers,"33,717,940","9,418,539","2,350,742",0,NA,"45,487,221"
2017,RI,Full-Service Providers,"2,667,793","1,125,777","143,368",0,NA,"3,936,938"
2017,SC,Full-Service Providers,"29,224,971","21,758,082","27,113,704",0,NA,"78,096,757"
2017,SD,Full-Service Providers,"4,652,890","4,722,666","2,938,119",0,NA,"12,313,675"
2017,TN,Full-Service Providers,"39,292,528","33,727,208","24,220,149",0,NA,"97,239,885"
2017,TX,Full-Service Providers,"144,242,131","137,485,841","119,970,143","182,259",NA,"401,880,374"
2017,UT,Full-Service Providers,"9,510,783","11,739,121","9,283,036","56,081",NA,"30,589,021"
2017,VA,Full-Service Providers,"43,982,440","50,018,805","16,767,510","177,947",NA,"110,946,702"
2017,VT,Full-Service Providers,"2,023,424","1,976,594","1,423,644",0,NA,"5,423,662"
2017,WA,Full-Service Providers,"37,282,901","29,756,635","22,592,512","7,162",NA,"89,639,210"
2017,WI,Full-Service Providers,"21,233,154","23,641,127","24,204,631",197,NA,"69,079,109"
2017,WV,Full-Service Providers,"10,573,463","7,549,430","13,586,126",0,NA,"31,709,019"
2017,WY,Full-Service Providers,"2,772,371","3,762,086","10,243,610",0,NA,"16,778,067"
2017,US,Full-Service Providers,"1,285,787,376","1,078,679,288","797,505,332","1,656,960",NA,"3,163,628,956"
2017,CA,Energy-Only Providers,"4,991,769","19,895,238","11,018,364","409,117",NA,"36,314,488"
2017,CT,Energy-Only Providers,"3,742,620","9,330,055","2,380,557","163,972",NA,"15,617,204"
2017,DC,Energy-Only Providers,"585,331","6,918,752","180,183","335,386",NA,"8,019,652"
2017,DE,Energy-Only Providers,"329,926","2,536,545","1,378,717",0,NA,"4,245,188"
2017,IL,Energy-Only Providers,"16,233,098","33,975,794","37,082,857","520,340",NA,"87,812,089"
2017,MA,Energy-Only Providers,"6,752,213","19,232,582","4,282,731","348,263",NA,"30,615,789"
2017,MD,Energy-Only Providers,"5,084,800","22,143,685","3,364,156","528,841",NA,"31,121,482"
2017,ME,Energy-Only Providers,"702,985","2,032,018","2,451,180",0,NA,"5,186,183"
